2023-07-20 13:43:20,708 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:47624
2023-07-20 13:43:20,709 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0001 with negotiated timeout 2000 for client /127.0.0.1:47624
2023-07-20 13:43:29,147 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10000010aea0001
2023-07-20 13:43:29,150 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:47624 which had sessionid 0x10000010aea0001
2023-07-20 13:43:42,858 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:39364
2023-07-20 13:43:42,862 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:39364
2023-07-20 13:43:42,864 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0002 with negotiated timeout 2000 for client /127.0.0.1:39364
2023-07-20 13:43:58,763 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10000010aea0002
2023-07-20 13:43:58,765 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:39364 which had sessionid 0x10000010aea0002
2023-07-20 13:45:08,501 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:48862
2023-07-20 13:45:08,506 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:48862
2023-07-20 13:45:08,507 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0003 with negotiated timeout 2000 for client /127.0.0.1:48862
2023-07-20 13:45:37,854 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x10000010aea0003, likely client has closed socket
2023-07-20 13:45:37,854 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:48862 which had sessionid 0x10000010aea0003
2023-07-20 13:45:39,296 [myid:] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10000010aea0003, timeout of 2000ms exceeded
2023-07-20 13:45:39,296 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10000010aea0003
2023-07-20 13:45:50,218 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:41186
2023-07-20 13:45:50,223 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:41186
2023-07-20 13:45:50,225 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0004 with negotiated timeout 2000 for client /127.0.0.1:41186
2023-07-20 13:46:01,413 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x10000010aea0004, likely client has closed socket
2023-07-20 13:46:01,413 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:41186 which had sessionid 0x10000010aea0004
2023-07-20 13:46:02,996 [myid:] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10000010aea0004, timeout of 2000ms exceeded
2023-07-20 13:46:02,996 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10000010aea0004
2023-07-20 13:46:26,935 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:54026
2023-07-20 13:46:26,938 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:54026
2023-07-20 13:46:26,941 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0005 with negotiated timeout 2000 for client /127.0.0.1:54026
2023-07-20 13:46:53,292 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /127.0.0.1:37076
2023-07-20 13:46:53,295 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:37076
2023-07-20 13:46:53,296 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x10000010aea0006 with negotiated timeout 2000 for client /127.0.0.1:37076
2023-07-20 13:47:06,012 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x10000010aea0006, likely client has closed socket
2023-07-20 13:47:06,012 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:37076 which had sessionid 0x10000010aea0006
2023-07-20 13:47:07,896 [myid:] - INFO  [SessionTracker:ZooKeeperServer@355] - Expiring session 0x10000010aea0006, timeout of 2000ms exceeded
2023-07-20 13:47:07,896 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x10000010aea0006
